"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         199,      -6.563517006,      -4.199008966,      -5.454342328,      -2.147823648,      -4.428203295,       1.963605802
          0,           0,         200,      -6.563870377,       -4.19948717,      -5.454542578,      -2.148438636,      -4.428590315,        1.96298451
          0,           0,         201,       -6.56422356,      -4.199964757,       -5.45469513,      -2.149070536,      -4.428977713,       1.962356172
          0,           0,         202,      -6.564576271,        -4.2004417,      -5.454840027,      -2.149717975,      -4.429365481,       1.961731104
          0,           0,         203,      -6.564928572,      -4.200918153,      -5.454996693,      -2.150364744,      -4.429753613,       1.961113171
          0,           0,         204,      -6.565280791,       -4.20139403,      -5.455159207,      -2.151011676,      -4.430142107,       1.960500544
          0,           0,         205,      -6.565633023,      -4.201869145,      -5.455329874,      -2.151663398,      -4.430530956,       1.959888435
          0,           0,         206,      -6.565986111,      -4.202344119,       -5.45549021,      -2.152295092,      -4.430920157,       1.959272522
          0,           0,         207,      -6.566339512,      -4.202819868,      -5.455644311,      -2.152928875,      -4.431333364,       1.958653996
          0,           0,         208,       -6.56669272,      -4.203295286,      -5.455802118,      -2.153572339,      -4.431753401,       1.958037133
          0,           0,         209,      -6.567045585,      -4.203769968,      -5.455968969,      -2.154204372,      -4.432173482,       1.957423043
          0,           0,         210,      -6.567397664,      -4.204243943,      -5.456138713,      -2.154832835,      -4.432593663,       1.956810316
          0,           0,         211,      -6.567748968,       -4.20471709,      -5.456302752,      -2.155485138,      -4.433013962,       1.956197908
          0,           0,         212,      -6.568100463,      -4.205189617,      -5.456474778,      -2.156119406,      -4.433434389,       1.955584414
          0,           0,         213,      -6.568452119,      -4.205661627,      -5.456642282,      -2.156746894,       -4.43385494,       1.954970843
          0,           0,         214,      -6.568803491,      -4.206133089,      -5.456808358,      -2.157375744,      -4.434275642,       1.954360008
          0,           0,         215,      -6.569154546,      -4.206604637,      -5.456976657,      -2.158013032,       -4.43469651,        1.95375196
          0,           0,         216,      -6.569505656,       -4.20707564,      -5.457149278,      -2.158612252,      -4.435117553,       1.953141394
          0,           0,         217,      -6.569856469,      -4.207545944,      -5.457294745,      -2.159237112,      -4.435538788,        1.95252829
          0,           0,         218,      -6.570206585,      -4.208015562,      -5.457453884,      -2.159872747,      -4.435960219,       1.951921424
          0,           0,         219,      -6.570556063,      -4.208484248,      -5.457629272,      -2.160513796,      -4.436381816,       1.951321652
          0,           0,         220,      -6.570905585,      -4.208952105,      -5.457818387,      -2.161120445,      -4.436803566,       1.950722914
          0,           0,         221,       -6.57125547,      -4.209419664,      -5.457991039,      -2.161733201,      -4.437225499,       1.950120606
          0,           0,         222,      -6.571605124,      -4.209886811,      -5.458154509,      -2.162361513,      -4.437647635,       1.949518837
          0,           0,         223,      -6.571954447,      -4.210353418,      -5.458327129,      -2.162989161,      -4.438069983,       1.948921558
          0,           0,         224,      -6.572303511,      -4.210819409,      -5.458504742,      -2.163608576,      -4.438492539,       1.948325145
          0,           0,         225,      -6.572652299,      -4.211284984,      -5.458685119,      -2.164233502,      -4.438915274,        1.94772646
          0,           0,         226,      -6.573000928,      -4.211750264,      -5.458869695,      -2.164856004,      -4.439338172,       1.947124886
          0,           0,         227,      -6.573349782,      -4.212214928,      -5.459056896,       -2.16547098,      -4.439761258,       1.946520924
          0,           0,         228,      -6.573698595,      -4.212679177,      -5.459232719,      -2.166113861,      -4.440184493,       1.945915568
          0,           0,         229,      -6.574048227,      -4.213143046,      -5.459415376,      -2.166740887,      -4.440607905,       1.945310135
          0,           0,         230,      -6.574398993,       -4.21360639,      -5.459584868,      -2.167358541,      -4.441031476,       1.944707694
          0,           0,         231,      -6.574750002,      -4.214069198,      -5.459752282,      -2.167975594,      -4.441455174,       1.944109484
          0,           0,         232,       -6.57510072,      -4.214531477,      -5.459924024,      -2.168595035,      -4.441879036,       1.943513772
          0,           0,         233,       -6.57545107,      -4.214993131,      -5.460097204,      -2.169211968,      -4.442303103,       1.942919709
          0,           0,         234,      -6.575800845,      -4.215454195,      -5.460271725,      -2.169829242,      -4.442727392,       1.942327535
          0,           0,         235,      -6.576150059,      -4.215914661,      -5.460447788,      -2.170445897,      -4.443151902,       1.941736852
          0,           0,         236,      -6.576498835,      -4.216374537,      -5.460624623,      -2.171061794,      -4.443576618,       1.941146863
          0,           0,         237,      -6.576847265,      -4.216833448,      -5.460800601,      -2.171679092,      -4.444001551,       1.940555443
          0,           0,         238,       -6.57719532,      -4.217291622,      -5.460981891,      -2.172244532,      -4.444426699,       1.939959253
          0,           0,         239,      -6.577542534,      -4.217749291,      -5.461131932,      -2.172837603,      -4.444852066,       1.939359991
          0,           0,         240,      -6.577888717,      -4.218206561,      -5.461289453,      -2.173454797,      -4.445277663,       1.938764395
